,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei Darussalam,38679,16932,19078,18262,23695,23455,17279,19278,2701
Malaysia,1173351,1380686,1418256,1431728,1541197,2121888,2503344,2980753,980118
Filipina,210029,247573,248182,267700,298910,308977,217874,260980,50413
Singapura,1324839,1432060,1559044,1594102,1515699,1554119,1768744,1934445,280492
Thailand,115036,125059,114272,118579,124569,138235,124153,136699,21303
Vietnam,31106,43249,48018,49845,60986,77466,75816,96024,19608
Myanmar,22304,31001,33559,39923,44720,48133,28612,46381,12669
Hong Kong,84985,95258,94560,93529,101369,98272,91182,50324,2625
India,181791,231266,267082,306960,422045,536902,595636,657300,111724
Jepang,423113,497399,505175,528606,545392,573310,530573,519623,92228
Korea Selatan,320596,351154,352004,375586,386789,423191,358885,388316,75562
Pakistan,6598,6281,7057,7570,10100,11424,13448,14663,4110
Bangladesh,6394,8132,13891,15790,39028,56503,56564,59777,12866
Sri Lanka,7019,8288,8760,11190,24258,35669,32508,28907,4300
Taiwan,228922,247146,220328,223478,252849,264278,208317,207490,35680
Tionghoa,594997,858140,1052705,1249091,1556771,2093171,2139161,2072079,239768
Saudi Arabia,110908,121890,151454,164643,197681,182086,165912,157512,31906
Bahrain,879,1176,1608,1685,2243,2457,2324,2631,373
Kuwait,4164,7919,9281,8306,6368,5760,5551,5762,846
Mesir,4469,8091,10695,12972,19948,20345,18075,21354,4337
Uni Emirat Arab,4720,9891,12054,10315,9016,8387,7100,9065,1093
Yaman,6729,6851,7863,8715,9478,8453,10008,9221,2094
Qatar,4501,1332,1648,1595,1856,1859,2104,1989,225
Austria,17374,21645,20599,22458,24375,27208,29492,28476,4858
Belgia,24579,34414,33601,38193,43607,48477,50050,46780,5902
Denmark,19950,22890,22577,27692,36380,43721,46825,45090,10533
Perancis,171736,201917,208537,208679,256229,274117,287917,283814,43438
Jerman,149110,173470,184463,201202,243873,267823,274166,277653,46361
Italia,42256,56705,62265,67892,79424,90022,94288,91229,13260
Belanda,163268,161402,168494,172371,200811,210426,209978,215287,53495
Spanyol,30657,39383,47376,53115,68840,81690,85560,83373,11829
Portugal,13661,18194,17675,22032,29286,33223,36804,35434,6245
Swedia,26504,29281,32308,37555,45934,51417,50381,56402,17600
Swiss,38704,43906,45567,51685,56700,61191,60293,57484,8362
Inggris,201221,236794,244594,286806,352017,378131,392112,397624,69997
Finlandia,13137,15074,15332,18564,21031,24447,27127,22665,6376
Norwegia,17803,18174,17253,18526,19478,22838,24906,23886,5072
Rusia,96438,99872,94345,72302,88520,117532,125728,158943,67491
Amerika Serikat,203205,236375,246397,269062,316782,344766,387856,457832,91782
Kanada,57129,65385,68432,74212,86807,96139,97908,103616,23200
Australia,933376,983911,1145576,1090025,1302292,1256927,1301478,1386803,256291
Selandia Baru,52458,67852,79380,86609,105393,106914,128366,149010,19947
Afrika Selatan,16282,16928,17375,22482,29223,38073,41962,47657,7350
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
